Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry
360 ONE WAM Ltd.,360ONE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
3M India Ltd.,3MINDIA,Diversified,Diversified,Diversified,Diversified
ABB India Ltd.,ABB,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ACC Ltd.,ACC,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
ACME Solar Holdings Ltd.,ACMESOLAR,Utilities,Power,Power,Power Generation
AIA Engineering Ltd.,AIAENG,Industrials,Capital Goods,Industrial Products,Castings & Forgings
APL Apollo Tubes Ltd.,APLAPOLLO,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AU Small Finance Bank Ltd.,AUBANK,Financial Services,Financial Services,Banks,Other Bank
AWL Agri Business Ltd.,AWL,Financial Services,Financial Services,Banks,Other Bank
Aadhar Housing Finance Ltd.,AADHARHFC,Financial Services,Financial Services,Finance,Housing Finance Company
Aarti Industries Ltd.,AARTIIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Aavas Financiers Ltd.,AAVAS,Financial Services,Financial Services,Finance,Housing Finance Company
Abbott India Ltd.,ABBOTINDIA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Action Construction Equipment Ltd.,ACE,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles
Adani Energy Solutions Ltd.,ADANIENSOL,Utilities,Power,Power,Power Distribution
Adani Enterprises Ltd.,ADANIENT,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
Adani Green Energy Ltd.,ADANIGREEN,Utilities,Power,Power,Power Generation
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services,Services,Transport Infrastructure,Port & Port services
Adani Power Ltd.,ADANIPOWER,Utilities,Power,Power,Integrated Power Utilities
Adani Total Gas Ltd.,ATGL,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier
Aditya Birla Capital Ltd.,ABCAPITAL,Financial Services,Financial Services,Finance,Investment Company
Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
Aditya Birla Real Estate Ltd.,ABREL,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
Aegis Logistics Ltd.,AEGISLOG,Energy,Oil Gas & Consumable Fuels,Gas,Trading - Gas
Afcons Infrastructure Ltd.,AFCONS,Industrials,Construction,Construction,Civil Construction
Affle 3i Ltd.,AFFLE,Information Technology,Information Technology,IT - Services,IT Enabled Services
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Akums Drugs and Pharmaceuticals Ltd.,AKUMS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alembic Pharmaceuticals Ltd.,APLLTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alivus Life Sciences Ltd.,ALIVUS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alkem Laboratories Ltd.,ALKEM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Alok Industries Ltd.,ALOKINDS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
Amara Raja Energy & Mobility Ltd.,ARE&M,,,,
Amber Enterprises India Ltd.,AMBER,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
Ambuja Cements Ltd.,AMBUJACEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
Anand Rathi Wealth Ltd.,ANANDRATHI,Financial Services,Financial Services,Capital Markets,Financial Products Distributor
Anant Raj Ltd.,ANANTRAJ,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
Angel One Ltd.,ANGELONE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
Apar Industries Ltd.,APARINDS,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare,Healthcare,Healthcare Services,Hospital
Apollo Tyres Ltd.,APOLLOTYRE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
Aptus Value Housing Finance India Ltd.,APTUS,Financial Services,Financial Services,Finance,Housing Finance Company
Asahi India Glass Ltd.,ASAHIINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Ashok Leyland Ltd.,ASHOKLEY,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles
Asian Paints Ltd.,ASIANPAINT,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
Aster DM Healthcare Ltd.,ASTERDM,Healthcare,Healthcare,Healthcare Services,Hospital
AstraZenca Pharma India Ltd.,ASTRAZEN,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Astral Ltd.,ASTRAL,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
Atul Ltd.,ATUL,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Authum Investment & Infrastructure Ltd.,AIIL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
Avenue Supermarts Ltd.,DMART,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
Axis Bank Ltd.,AXISBANK,Financial Services,Financial Services,Banks,Private Sector Bank
