Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry,Market Cap,Free Float Market Cap
360 ONE WAM Ltd.,360ONE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,43128.56,24216.81305
3M India Ltd.,3MINDIA,Diversified,Diversified,Diversified,Diversified,36048.22,9012.056
Aadhar Housing Finance Ltd.,AADHARHFC,Financial Services,Financial Services,Finance,Housing Finance Company,21847.08,5289.855553
Aarti Industries Ltd.,AARTIIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,13740.77,7753.010045
Aavas Financiers Ltd.,AAVAS,Financial Services,Financial Services,Finance,Housing Finance Company,13330.02,6619.915934
ABB India Ltd.,ABB,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,108751.38,26839.51385
Abbott India Ltd.,ABBOTINDIA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,69899.58,17115.2614
Aditya Birla Capital Ltd.,ABCAPITAL,Financial Services,Financial Services,Finance,Investment Company,72586.38,19812.52388
Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,9310.63,3571.606097
Aditya Birla Real Estate Ltd.,ABREL,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,20951.88,9783.143107
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company,24570.41,6157.984608
ACC Ltd.,ACC,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,34055.22,11811.06551
Action Construction Equipment Ltd.,ACE,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,13194.42,4547.245093
ACME Solar Holdings Ltd.,ACMESOLAR,Utilities,Power,Power,Power Generation,16791.19,2784.650273
Adani Energy Solutions Ltd.,ADANIENSOL,Utilities,Power,Power,Power Distribution,95562.03,28715.14896
Adani Enterprises Ltd.,ADANIENT,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,259217.45,58338.18319
Adani Green Energy Ltd.,ADANIGREEN,Utilities,Power,Power,Power Generation,148748.57,28705.20151
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services,Services,Transport Infrastructure,Port & Port services,291078.72,99170.81195
Adani Power Ltd.,ADANIPOWER,Utilities,Power,Power,Integrated Power Utilities,224088.15,45607.98941
